activation,batch_size,best_acc,best_loss,best_train_acc,best_train_loss,filter1,kernelsize_1,filter2,kernelsize_2,filter3,kernelsize_3,hidden_1,hidden_2,learning_rate,momentum,optimizer,p_reduct,step_1_test_acc,step_1_test_loss,step_2_test_acc,step_2_test_loss,step_3_test_acc,step_3_test_loss,step_4_test_acc,step_4_test_loss,step_5_test_acc,step_5_test_loss,step_6_test_acc,step_6_test_loss,step_7_test_acc,step_7_test_loss,step_8_test_acc,step_8_test_loss,step_9_test_acc,step_9_test_loss,step_10_test_acc,step_10_test_loss,step_11_test_acc,step_11_test_loss,step_12_test_acc,step_12_test_loss,step_13_test_acc,step_13_test_loss,step_14_test_acc,step_14_test_loss,step_15_test_acc,step_15_test_loss,step_16_test_acc,step_16_test_loss,step_17_test_acc,step_17_test_loss,step_18_test_acc,step_18_test_loss,step_19_test_acc,step_19_test_loss,step_20_test_acc,step_20_test_loss,step_21_test_acc,step_21_test_loss,step_22_test_acc,step_22_test_loss,step_23_test_acc,step_23_test_loss,step_24_test_acc,step_24_test_loss,step_25_test_acc,step_25_test_loss,step_26_test_acc,step_26_test_loss,step_27_test_acc,step_27_test_loss,step_28_test_acc,step_28_test_loss,step_29_test_acc,step_29_test_loss,step_30_test_acc,step_30_test_loss,step_31_test_acc,step_31_test_loss,step_32_test_acc,step_32_test_loss,step_33_test_acc,step_33_test_loss,step_34_test_acc,step_34_test_loss,step_35_test_acc,step_35_test_loss,step_36_test_acc,step_36_test_loss,step_37_test_acc,step_37_test_loss,step_38_test_acc,step_38_test_loss,step_39_test_acc,step_39_test_loss,step_40_test_acc,step_40_test_loss,step_41_test_acc,step_41_test_loss,step_42_test_acc,step_42_test_loss,step_43_test_acc,step_43_test_loss,step_44_test_acc,step_44_test_loss,step_45_test_acc,step_45_test_loss,step_46_test_acc,step_46_test_loss,step_47_test_acc,step_47_test_loss,step_48_test_acc,step_48_test_loss,step_49_test_acc,step_49_test_loss,step_50_test_acc,step_50_test_loss
relu,64,0.7954,0.6078584,0.742819481,0.726070396,64,4,96,3,128,4,125,125,0.001,0.99,adam,0,0.4518,1.523176,0.5701,1.2323228,0.5676,1.2070943,0.5854,1.1710905,0.5973,1.1094017,0.6491,0.9899742,0.6264,1.0580785,0.672,0.9364427,0.705,0.84642226,0.662,0.9726616,0.6269,1.0732723,0.7141,0.8023914,0.6615,0.99577373,0.725,0.7844504,0.7099,0.84039336,0.7269,0.79559445,0.7532,0.7055782,0.6948,0.88191885,0.6929,0.8928244,0.7571,0.6960176,0.752,0.6975226,0.6938,0.9215008,0.7615,0.69289607,0.7005,0.8628317,0.7359,0.7663065,0.7537,0.7110185,0.7449,0.72689855,0.7199,0.83375335,0.7723,0.652067,0.6413,1.096539,0.7447,0.74002296,0.715,0.83439636,0.7642,0.687116,0.7403,0.75061715,0.7548,0.73025525,0.7778,0.64965487,0.7637,0.6909079,0.7776,0.65711856,0.7492,0.7352755,0.7429,0.7549781,0.7391,0.7772491,0.7852,0.6318873,0.7107,0.8599953,0.7765,0.65636516,0.7678,0.6898962,0.7732,0.67125654,0.7407,0.7702976,0.7638,0.69249004,0.7954,0.6078584,0.7926,0.6109206
relu,32,0.7818,0.6404524,0.700263511,0.855082873,64,5,64,4,96,5,100,100,0.003,0.9,adam,0,0.4267,1.5744067,0.5279,1.3069309,0.566,1.224216,0.5258,1.3778822,0.5417,1.3044628,0.6262,1.0856481,0.6567,0.985092,0.6491,1.0007707,0.6581,0.95671594,0.6602,0.96753436,0.7138,0.8204418,0.7278,0.7770585,0.7205,0.80187196,0.6786,0.930908,0.6722,0.95718884,0.7134,0.8423485,0.6912,0.88836485,0.7416,0.7419547,0.7236,0.80185926,0.7099,0.82964015,0.6521,1.0475689,0.7282,0.77510136,0.7075,0.8321178,0.723,0.80585307,0.7498,0.72641814,0.7394,0.7559052,0.7209,0.8056452,0.7471,0.7347752,0.7422,0.74328494,0.7554,0.70493364,0.737,0.75641155,0.7496,0.7231872,0.7516,0.721246,0.7644,0.6841076,0.7478,0.73590964,0.7361,0.7784043,0.7669,0.6779005,0.7728,0.6526185,0.7661,0.67370296,0.7478,0.7402828,0.7485,0.72375995,0.7764,0.66014344,0.7695,0.6655422,0.7664,0.6778271,0.7349,0.8049684,0.7818,0.6404524,0.7552,0.7154917,0.7566,0.71857935,0.7762,0.6571296,0.7681,0.6753258
relu,32,0.799,0.59537756,0.728949973,0.77276349,96,5,128,5,96,4,125,125,0.003,0.95,adam,0,0.4941,1.416485,0.5525,1.232584,0.4605,1.6862344,0.6109,1.1056771,0.6611,0.98069775,0.6181,1.0934721,0.7114,0.8450789,0.6026,1.1785697,0.6691,0.9628613,0.7009,0.87444454,0.6831,0.9147322,0.6622,0.99548614,0.7355,0.7736622,0.7286,0.7831222,0.7459,0.7483349,0.6167,1.1900163,0.765,0.6893818,0.6835,1.0072136,0.7521,0.72739375,0.7684,0.68779457,0.7578,0.70063704,0.7548,0.70811945,0.7622,0.7171459,0.7206,0.83213514,0.7759,0.66838944,0.7634,0.6955792,0.7473,0.74336874,0.7193,0.8411581,0.7619,0.69663614,0.7763,0.6584552,0.776,0.66061777,0.7851,0.6352845,0.773,0.6778251,0.7792,0.64863896,0.6785,1.0192003,0.7796,0.6504589,0.7842,0.6405398,0.7764,0.6706437,0.7503,0.7547138,0.7552,0.74786526,0.7628,0.7025358,0.7617,0.70475876,0.799,0.59537756,0.7856,0.6335271,0.7928,0.61310273,0.7886,0.6355382,0.7507,0.766338,0.7931,0.61641496,0.7757,0.6756515,0.7954,0.6084094
relu,64,0.8025,0.58390003,0.7377143,0.737302523,64,5,96,5,96,4,100,125,0.001,0.9,adam,0,0.4215,1.5894485,0.5238,1.3592364,0.583,1.1509672,0.5922,1.1881679,0.6238,1.0680745,0.5856,1.1879268,0.6644,0.9333654,0.644,1.0114936,0.6226,1.0539923,0.7101,0.8337962,0.7282,0.78585565,0.7066,0.83863455,0.6886,0.89106536,0.7185,0.8105247,0.7663,0.678601,0.7485,0.7268293,0.7401,0.75331974,0.674,0.9579312,0.7471,0.7315184,0.7278,0.79586387,0.7476,0.73266184,0.7341,0.75556993,0.784,0.63089746,0.7347,0.7873102,0.7376,0.78325504,0.7728,0.6564999,0.7774,0.6511422,0.7568,0.72276074,0.753,0.7197486,0.656,1.0554309,0.7796,0.6448698,0.7903,0.61426914,0.7813,0.63853085,0.7891,0.6135391,0.7648,0.68860483,0.7649,0.69146836,0.7918,0.5958814,0.7671,0.6786084,0.7808,0.64376277,0.7887,0.6179309,0.7483,0.7545294,0.8025,0.58390003,0.7965,0.6027795,0.7703,0.6864274,0.7962,0.6051135,0.7832,0.65608186,0.785,0.6528046,0.796,0.58681315,0.7829,0.6441574,0.7858,0.63032585
relu,64,0.7962,0.6044691,0.737408562,0.740512538,96,5,96,5,96,5,100,100,0.003,0.9,adam,0,0.4661,1.4746476,0.4544,1.6109715,0.5374,1.2910779,0.5595,1.2472448,0.5703,1.2431319,0.6584,0.96195525,0.7018,0.84598994,0.6713,0.9253004,0.6485,1.038622,0.6812,0.8991809,0.7117,0.8175673,0.7034,0.83927757,0.7295,0.78734726,0.7242,0.78698117,0.7187,0.80693567,0.744,0.73316354,0.7339,0.76428276,0.6739,0.9568382,0.7621,0.68565184,0.7566,0.6965421,0.7628,0.6900466,0.7483,0.74322426,0.749,0.7285403,0.6939,0.9109512,0.7638,0.6824887,0.7081,0.87233067,0.6902,0.9157179,0.731,0.7904474,0.7759,0.64810735,0.6767,0.978741,0.7419,0.76376426,0.6568,1.1282011,0.7717,0.6687168,0.7729,0.6568251,0.7614,0.7086766,0.7933,0.60748035,0.7634,0.702598,0.7899,0.60752046,0.7539,0.7265982,0.7551,0.7108456,0.7134,0.89318836,0.7524,0.7899288,0.7761,0.66856766,0.7906,0.6323556,0.7962,0.6044691,0.7302,0.831708,0.7949,0.60950434,0.7729,0.6752059,0.7763,0.6643736,0.7906,0.6207008
relu,64,0.8153,0.5376418,0.756502038,0.682243366,96,4,96,5,128,5,125,100,0.001,0.9,adam,0,0.2601,2.5994604,0.5351,1.295334,0.6213,1.054647,0.6466,0.99007577,0.6582,0.98428226,0.6821,0.8918639,0.6344,1.0286424,0.5829,1.1549771,0.7032,0.8657667,0.7453,0.73800343,0.7275,0.7822185,0.7436,0.7331941,0.706,0.8422636,0.6965,0.88764465,0.7656,0.6793233,0.7059,0.8703575,0.7201,0.7952706,0.7231,0.8072083,0.7297,0.772923,0.7079,0.86863923,0.728,0.7925695,0.784,0.62514246,0.7513,0.71322674,0.7256,0.8048848,0.7886,0.5983781,0.7609,0.7098492,0.7858,0.62797695,0.7555,0.7112393,0.7837,0.62860674,0.7671,0.69148487,0.7954,0.58795583,0.8121,0.5473891,0.7978,0.58217937,0.7748,0.6585125,0.8062,0.56659347,0.7741,0.6620387,0.7954,0.60158545,0.8153,0.5376418,0.8049,0.5652955,0.8134,0.5427128,0.8017,0.57684934,0.7933,0.60630095,0.8114,0.54674864,0.7768,0.66141164,0.7915,0.6307029,0.8076,0.56355625,0.8078,0.5565802,0.8094,0.55763555,0.8155,0.5400333,0.8112,0.56262463
relu,32,0.7769,0.642584,0.709684855,0.821911919,64,4,64,3,128,4,125,100,0.002,0.9,adam,0,0.4533,1.4621817,0.5184,1.3361326,0.4404,1.6773254,0.6057,1.0979083,0.6474,1.0066556,0.5746,1.262846,0.6646,0.94464004,0.6265,1.0815125,0.6133,1.1278446,0.6074,1.1506547,0.7215,0.7920307,0.6178,1.1457115,0.6922,0.89243156,0.6962,0.8800622,0.5973,1.2269554,0.6786,0.9163453,0.7091,0.83067626,0.7411,0.7386877,0.6808,0.93008894,0.7509,0.7146136,0.7257,0.79213387,0.7467,0.7092925,0.7442,0.72322863,0.7283,0.7768494,0.7316,0.76326734,0.6816,0.92309004,0.7256,0.77766174,0.7284,0.7669594,0.7569,0.6975246,0.7611,0.67953646,0.6875,0.9336668,0.7618,0.6908797,0.7521,0.7150254,0.7702,0.6632326,0.7562,0.6956865,0.7422,0.75414413,0.7549,0.72086275,0.7289,0.7987551,0.7706,0.65871334,0.7545,0.70980144,0.7651,0.6799062,0.7553,0.7170497,0.7279,0.80413777,0.7447,0.7441319,0.7732,0.6718079,0.7587,0.70492715,0.7593,0.701579,0.7309,0.7784553,0.7732,0.67009294,0.7769,0.642584
relu,32,0.7521,0.71111685,0.675856242,0.918248924,64,5,64,3,96,4,125,125,0.003,0.9,adam,0,0.4786,1.4334393,0.5418,1.2833035,0.5583,1.2297741,0.5976,1.1168439,0.5116,1.3917016,0.6215,1.116173,0.591,1.1942735,0.6212,1.0810004,0.5761,1.2158399,0.5944,1.2104603,0.6332,1.0434465,0.6318,1.0347747,0.6951,0.8769799,0.6418,1.0296636,0.6586,0.9887593,0.7033,0.8448355,0.6601,0.9691544,0.7089,0.8264919,0.7029,0.83684784,0.7248,0.789731,0.6808,0.9165172,0.6923,0.8906174,0.7267,0.77742976,0.6929,0.8822142,0.7242,0.77207685,0.7069,0.85446936,0.6954,0.889492,0.7022,0.861566,0.7386,0.74547035,0.6904,0.8932127,0.6877,0.9369881,0.7032,0.8567361,0.5949,1.3155894,0.7342,0.7660928,0.7126,0.83093125,0.7361,0.77398926,0.7226,0.8062291,0.7331,0.77769697,0.7355,0.77891874,0.7418,0.73902065,0.7069,0.85973585,0.7204,0.8210137,0.7521,0.71111685,0.7161,0.82771,0.7059,0.87377363,0.722,0.82395446,0.7274,0.7944371,0.7239,0.8192628,0.7323,0.78218174,0.728,0.7870323
relu,64,0.7943,0.59674096,0.721397451,0.783563242,96,5,64,3,96,4,125,125,0.001,0.9,adam,0,0.4769,1.4579104,0.5014,1.4168795,0.5087,1.3560942,0.6245,1.0777318,0.5894,1.15032,0.6154,1.0734235,0.56,1.2486764,0.7013,0.8705172,0.6604,0.9585173,0.6533,1.0098494,0.6435,1.0218213,0.7159,0.8062903,0.7233,0.7924616,0.6322,1.0651724,0.6567,1.0035391,0.6353,1.1160973,0.7187,0.8062612,0.7099,0.8359973,0.7084,0.85005295,0.7476,0.72460246,0.7156,0.82883984,0.7054,0.84263533,0.746,0.72857356,0.7252,0.7823658,0.7252,0.78538203,0.7474,0.73352635,0.7449,0.74942046,0.7507,0.7105795,0.726,0.79706806,0.7646,0.6715623,0.7575,0.69925725,0.7412,0.74101776,0.7184,0.8250789,0.7214,0.8128579,0.7292,0.78409034,0.7315,0.7831545,0.7532,0.69733965,0.7162,0.8345295,0.7804,0.6302859,0.7339,0.77579266,0.737,0.76096505,0.7447,0.73149484,0.7677,0.6715157,0.7684,0.6813326,0.7282,0.81219286,0.7468,0.7323346,0.7578,0.69609326,0.7943,0.59674096,0.7433,0.7548265,0.777,0.6438743
relu,32,0.7969,0.59336877,0.731300512,0.75490228,64,4,64,4,128,5,125,125,0.0015,0.9,adam,0,0.4477,1.5497952,0.5223,1.3389559,0.6272,1.0531769,0.6577,0.9618659,0.6352,1.0570472,0.6471,1.0065634,0.633,1.0813006,0.5895,1.2057682,0.6645,0.9695323,0.731,0.7841215,0.7248,0.78940105,0.7051,0.85048866,0.7403,0.7529172,0.743,0.73611706,0.6892,0.91202265,0.6772,0.94249237,0.6861,0.93266386,0.6967,0.89800566,0.7573,0.70323014,0.7405,0.7447473,0.7308,0.78220797,0.7644,0.6790585,0.7287,0.7971696,0.7189,0.8373791,0.7745,0.6593432,0.7768,0.6495484,0.776,0.66416556,0.7636,0.6973973,0.7429,0.7501963,0.7763,0.6517117,0.7808,0.64072126,0.7811,0.63759685,0.7478,0.7361426,0.7829,0.63134664,0.7808,0.6420727,0.764,0.69511443,0.7261,0.8349914,0.7743,0.66562927,0.7751,0.666497,0.7754,0.6658307,0.7822,0.63656414,0.7841,0.6466412,0.7907,0.62376845,0.7932,0.6098183,0.7711,0.68864137,0.7749,0.6609939,0.7773,0.665626,0.7969,0.59336877,0.7865,0.6419174,0.7992,0.59744865
relu,64,0.7983,0.5945538,0.738351099,0.741495446,96,5,128,4,128,5,100,100,0.003,0.99,adam,0,0.3699,1.8169633,0.5667,1.2088317,0.6056,1.0737467,0.6295,1.0459559,0.5876,1.1631973,0.5805,1.2135034,0.5737,1.2510744,0.6587,0.97302383,0.6792,0.9241451,0.6709,0.94757754,0.7323,0.77767473,0.6566,0.99385154,0.7104,0.8315207,0.7095,0.8340834,0.6168,1.1369909,0.7148,0.8270911,0.7605,0.70283127,0.6655,1.0023735,0.7161,0.8315139,0.7581,0.7008571,0.6969,0.8926512,0.776,0.6468872,0.7374,0.77275735,0.7493,0.73624307,0.7846,0.6247915,0.754,0.7198148,0.7634,0.69253176,0.7569,0.71463096,0.7271,0.80952,0.7662,0.6902928,0.7443,0.76449305,0.7471,0.7465778,0.7718,0.66981816,0.7336,0.82145154,0.7768,0.65116614,0.774,0.66953206,0.7337,0.7990994,0.7838,0.64262325,0.7983,0.5945538,0.7833,0.6443552,0.7807,0.6448792,0.7911,0.61510986,0.7727,0.6782106,0.7246,0.85757726,0.7456,0.76139367,0.7694,0.6902366,0.736,0.80774385,0.783,0.6508599,0.7728,0.6714181,0.7405,0.8050139
relu,32,0.7822,0.6284385,0.707744115,0.822598967,96,5,64,3,96,4,100,100,0.0015,0.9,adam,0,0.4254,1.5734649,0.5581,1.212785,0.5451,1.2790163,0.6099,1.0940119,0.6325,1.0402496,0.6721,0.96131104,0.6501,0.9760503,0.5561,1.3020538,0.6423,1.0324394,0.6602,0.9640833,0.6903,0.8697868,0.7357,0.7639399,0.6971,0.8681899,0.6006,1.2159005,0.729,0.7743392,0.7311,0.7767689,0.7151,0.8250853,0.668,0.9489495,0.7399,0.7361739,0.6378,1.0327308,0.7299,0.78098464,0.7556,0.7025124,0.7563,0.7056606,0.7063,0.86778164,0.7453,0.7238977,0.7515,0.715349,0.7707,0.661567,0.6439,1.0389861,0.7302,0.7734779,0.6983,0.8776574,0.7533,0.7179435,0.7688,0.6713996,0.7625,0.68924713,0.7443,0.75263435,0.7558,0.7036151,0.7697,0.6662468,0.7645,0.68605316,0.771,0.64860266,0.7726,0.6658495,0.7623,0.67799443,0.6982,0.8783845,0.7478,0.72760725,0.7736,0.6485671,0.7281,0.8039462,0.7822,0.6284385,0.7377,0.7640625,0.7465,0.7273661,0.7287,0.7940371,0.7745,0.6444925,0.7668,0.6664453
relu,64,0.7976,0.5892949,0.735525656,0.742381217,96,4,64,5,96,4,100,100,0.001,0.9,adam,0,0.4628,1.4805543,0.5498,1.228022,0.576,1.1844858,0.6304,1.0354509,0.4714,1.6574914,0.5187,1.4057302,0.7005,0.85730684,0.6757,0.91114104,0.5864,1.22004,0.6859,0.8870767,0.6781,0.91336834,0.594,1.175531,0.6545,0.9655545,0.6923,0.8803289,0.7085,0.81772083,0.7186,0.7989633,0.7343,0.7621368,0.7378,0.7463556,0.6849,0.89286876,0.7483,0.7185573,0.7218,0.79146975,0.7697,0.6539666,0.7328,0.769032,0.7221,0.8004909,0.7794,0.637065,0.7694,0.6606313,0.7566,0.7097999,0.7726,0.6721891,0.7833,0.61450595,0.762,0.68719375,0.779,0.63758135,0.7896,0.6023122,0.7618,0.6834466,0.7623,0.6799493,0.7835,0.63538885,0.7822,0.6384464,0.776,0.64453846,0.781,0.63756466,0.7856,0.61836565,0.7614,0.70711267,0.7664,0.68125707,0.7863,0.635488,0.7194,0.8324432,0.7857,0.62302727,0.7484,0.7633442,0.7933,0.6025746,0.7767,0.6566692,0.7976,0.5892949,0.7831,0.6309865,0.7805,0.64363116
relu,32,0.8087,0.5772126,0.749131321,0.713165129,64,5,96,4,128,5,125,125,0.001,0.9,adam,0,0.4482,1.4941176,0.4875,1.4065906,0.5273,1.336159,0.6317,1.048039,0.6226,1.0530761,0.6299,1.0699196,0.669,0.9139006,0.6707,0.9241302,0.6727,0.9676515,0.7172,0.815786,0.7245,0.78154564,0.6533,0.985158,0.7152,0.8354211,0.6857,0.9008457,0.7117,0.85458994,0.6475,1.0692407,0.7494,0.7246166,0.7175,0.82378143,0.7695,0.6637607,0.7763,0.66468066,0.755,0.7063586,0.756,0.7039862,0.7797,0.64774877,0.7791,0.6457226,0.7442,0.7402028,0.7759,0.6382339,0.7525,0.7257364,0.7661,0.6863283,0.7614,0.69647396,0.7455,0.764667,0.7509,0.73810685,0.7493,0.74773765,0.7909,0.6084326,0.7805,0.65570295,0.7936,0.60497737,0.7031,0.9051368,0.7733,0.6656466,0.7692,0.694221,0.8008,0.59070456,0.7791,0.6711978,0.7966,0.603325,0.7808,0.66232795,0.7837,0.646282,0.7957,0.6167411,0.8087,0.5772126,0.7804,0.6596358,0.7845,0.6321661,0.7963,0.6049762,0.7916,0.63187176,0.7885,0.64265096
relu,64,0.8003,0.58777493,0.727849921,0.766662476,96,5,128,5,96,4,125,100,0.003,0.9,adam,0,0.4827,1.4168065,0.4818,1.4360576,0.5739,1.17565,0.6546,0.98063457,0.5479,1.3638926,0.6462,0.9929386,0.6881,0.8875045,0.7106,0.8325083,0.6433,1.037356,0.7377,0.7605854,0.7194,0.8027625,0.7123,0.85462195,0.6931,0.8795577,0.7474,0.7256247,0.7233,0.8006382,0.7301,0.77918553,0.727,0.7891596,0.6565,1.0071213,0.7456,0.7387367,0.7682,0.6696568,0.761,0.6967296,0.729,0.7850893,0.755,0.6991888,0.7554,0.726601,0.7681,0.6785819,0.6916,0.93176115,0.7651,0.6882638,0.7512,0.7394471,0.766,0.68956316,0.7836,0.6391832,0.7401,0.787813,0.7875,0.6248381,0.7569,0.71602434,0.7475,0.734225,0.7357,0.77933484,0.7653,0.70847857,0.7828,0.6338475,0.7863,0.6224758,0.7527,0.72305256,0.7607,0.7011973,0.8003,0.58777493,0.7644,0.6881445,0.7927,0.6221272,0.7581,0.7121086,0.8038,0.5879962,0.7755,0.65960664,0.7396,0.774405,0.7926,0.61803967,0.7873,0.6414761,0.8067,0.5882168
relu,64,0.797,0.58898807,0.714161367,0.812259839,64,5,96,4,96,5,125,125,0.003,0.9,adam,0,0.4417,1.5076799,0.5243,1.340061,0.5639,1.2194185,0.5551,1.2154262,0.5993,1.1185497,0.6361,1.0219611,0.6662,0.95370686,0.6442,0.9985966,0.6239,1.0788609,0.7049,0.8364891,0.6655,0.9513152,0.6664,0.97367424,0.682,0.92609084,0.5688,1.2973782,0.7089,0.8261887,0.7552,0.7028564,0.6749,0.9773885,0.7108,0.8351456,0.7409,0.7450517,0.6685,0.98427385,0.7551,0.7229068,0.7588,0.69020766,0.7533,0.7103948,0.7601,0.6960154,0.7442,0.7450673,0.7496,0.72792256,0.7104,0.8496873,0.7392,0.75699073,0.7118,0.846598,0.7333,0.78312045,0.7645,0.6867064,0.7644,0.686892,0.7388,0.76905555,0.7739,0.67563087,0.7628,0.6890019,0.7714,0.67017287,0.7426,0.7456833,0.7579,0.70573205,0.7639,0.6833887,0.7125,0.8551986,0.797,0.58898807,0.7598,0.7105112,0.7934,0.60288143,0.7307,0.8059356,0.7549,0.72896606,0.6945,0.9121479,0.778,0.6560296,0.7744,0.6739792,0.7685,0.67454845,0.786,0.63732654
relu,64,0.7759,0.6403127,0.714197818,0.802115992,64,4,96,3,96,5,100,100,0.0015,0.99,adam,0,0.3732,1.8377899,0.5227,1.3384261,0.529,1.320019,0.5647,1.2743623,0.53,1.33051,0.5368,1.3830307,0.6966,0.8659256,0.5752,1.2653894,0.6577,1.010906,0.659,0.9840996,0.6752,0.92845744,0.639,1.0374169,0.6406,1.0445125,0.6926,0.8906264,0.7259,0.7626374,0.7372,0.75882256,0.738,0.7527989,0.7263,0.7874644,0.7069,0.8574488,0.7183,0.80725193,0.593,1.260494,0.724,0.79555833,0.6421,1.0766275,0.6079,1.238862,0.6962,0.8946214,0.7215,0.807071,0.7506,0.72316146,0.7552,0.709965,0.7509,0.71605647,0.7407,0.7503983,0.6911,0.90255886,0.7315,0.78447974,0.7353,0.77005476,0.7616,0.67946404,0.7759,0.6403127,0.7376,0.7661341,0.7408,0.7557655,0.7788,0.6431221,0.773,0.6664262,0.7168,0.8662876,0.7687,0.6733377,0.7457,0.7652359,0.7818,0.6439494,0.7469,0.7575215,0.742,0.76019496,0.7744,0.6704112,0.7437,0.74800783,0.7656,0.6882437,0.7264,0.83848786,0.7692,0.6806456
relu,32,0.8007,0.594696,0.740329389,0.737456299,64,4,128,5,128,4,125,125,0.002,0.9,adam,0,0.5084,1.3563052,0.5281,1.3030834,0.5551,1.2678351,0.6421,0.9992796,0.6296,1.0459535,0.6512,0.98585755,0.676,0.90108263,0.6914,0.8807084,0.7021,0.84864,0.7399,0.7557341,0.7262,0.78657955,0.7334,0.75063133,0.6996,0.88037443,0.7393,0.7557926,0.733,0.77924234,0.6923,0.8817791,0.7545,0.69923913,0.7542,0.7123118,0.7151,0.8124105,0.7468,0.72964823,0.7711,0.6656319,0.7636,0.68980765,0.7516,0.7162707,0.7694,0.6643791,0.7328,0.78104514,0.7646,0.67890465,0.7778,0.6398648,0.7629,0.6888463,0.7772,0.6426122,0.7921,0.6014743,0.78,0.6336031,0.7892,0.6251225,0.7482,0.76082337,0.7877,0.6178658,0.7747,0.66216326,0.7575,0.7202644,0.7401,0.7713155,0.7907,0.6227387,0.783,0.6440642,0.7792,0.6555126,0.8002,0.59668106,0.7622,0.702146,0.7976,0.5963282,0.7923,0.6102534,0.7956,0.6010299,0.8007,0.594696,0.7623,0.71441233,0.7697,0.7040357,0.7571,0.7502351,0.8006,0.6036644
relu,32,0.7728,0.65279484,0.701860472,0.842269022,64,4,128,3,96,4,100,100,0.003,0.99,adam,0,0.4888,1.3928297,0.5214,1.3743564,0.3165,2.2303548,0.4947,1.4792299,0.5806,1.200435,0.6582,0.9654827,0.6911,0.87966543,0.679,0.91258633,0.6519,0.97670096,0.6554,0.9891633,0.7091,0.8371539,0.6646,1.0159,0.6357,1.0745261,0.7342,0.7587955,0.7086,0.83527356,0.6947,0.87295765,0.5941,1.1871417,0.7084,0.82452327,0.6587,1.0036337,0.7347,0.75564206,0.6908,0.8801892,0.7083,0.8491982,0.7226,0.80039763,0.7066,0.8523875,0.7053,0.85086966,0.6909,0.899482,0.7329,0.7717395,0.7063,0.86783534,0.7234,0.80046517,0.687,0.9366662,0.7308,0.7821654,0.7385,0.76756567,0.7542,0.71900296,0.716,0.841019,0.7291,0.8069909,0.7368,0.7534791,0.7594,0.69201916,0.7269,0.7900379,0.6778,0.9480989,0.7488,0.73128283,0.7307,0.7934381,0.7581,0.70390683,0.7728,0.65279484,0.6986,0.88744795,0.7527,0.71685594,0.7485,0.745731,0.7105,0.85537815,0.7475,0.7415368,0.7705,0.6734613,0.7469,0.73084515
relu,32,0.7948,0.60306114,0.727246384,0.77171284,96,5,128,3,96,4,125,100,0.002,0.95,adam,0,0.4876,1.4125613,0.5469,1.2630975,0.5759,1.1743975,0.638,1.011911,0.6687,0.9370084,0.652,0.9854487,0.6932,0.8752163,0.6846,0.88300556,0.7116,0.8259178,0.6934,0.8630302,0.6885,0.9100542,0.7253,0.79021466,0.7256,0.78378177,0.6375,1.0435241,0.7517,0.72189075,0.7036,0.8632379,0.6926,0.86387813,0.7218,0.78261423,0.7232,0.78374743,0.73,0.7719052,0.6441,1.0625858,0.7608,0.69424725,0.7695,0.6647224,0.7347,0.7609202,0.6813,0.9172822,0.7558,0.6897805,0.7106,0.8211156,0.7739,0.6619116,0.7305,0.7926715,0.7405,0.75600225,0.7557,0.69905835,0.7717,0.663304,0.7572,0.69531786,0.7359,0.7651277,0.7566,0.7104885,0.7698,0.6748032,0.7578,0.69615847,0.7743,0.65730685,0.766,0.67885774,0.7678,0.6849927,0.757,0.6972593,0.7614,0.69479334,0.7813,0.6347472,0.7867,0.616931,0.7937,0.606475,0.7948,0.60306114,0.7224,0.8439614,0.7899,0.62833595,0.7816,0.65103894,0.7768,0.6651543
relu,64,0.8089,0.5655637,0.766646167,0.654950364,96,4,128,4,128,5,125,125,0.0015,0.9,adam,0,0.5071,1.3813636,0.319,2.1679406,0.5826,1.1784453,0.5928,1.1179297,0.6858,0.8857116,0.6753,0.9273437,0.6973,0.85513526,0.7192,0.7984903,0.7237,0.77710474,0.6484,1.0002567,0.7233,0.80419433,0.749,0.7371341,0.5889,1.3168586,0.7479,0.71757495,0.7455,0.7401287,0.7309,0.7835004,0.7288,0.76682717,0.7267,0.7850209,0.7547,0.71185315,0.6519,1.0085906,0.7494,0.7306917,0.7004,0.88552713,0.7446,0.7412,0.7627,0.6867742,0.7839,0.62282395,0.7848,0.61257374,0.7144,0.85209924,0.7434,0.7490595,0.747,0.7461503,0.7607,0.71048504,0.7309,0.7939732,0.7704,0.66884875,0.7902,0.61884594,0.7916,0.6113234,0.7814,0.6470573,0.8015,0.58729273,0.7954,0.60037,0.7918,0.6079459,0.7444,0.7996625,0.7418,0.76695335,0.7563,0.72861105,0.7767,0.6634369,0.807,0.56629395,0.7943,0.60424006,0.7996,0.58830625,0.8141,0.56913006,0.7628,0.71274734,0.8086,0.57024115,0.7835,0.66210437,0.8089,0.5655637
