activation,batch_size,best_acc,best_loss,best_train_acc,best_train_loss,filter1,kernelsize_1,filter2,kernelsize_2,filter3,kernelsize_3,hidden_1,hidden_2,learning_rate,momentum,optimizer,p_reduct,step_1_test_acc,step_1_test_loss,step_2_test_acc,step_2_test_loss,step_3_test_acc,step_3_test_loss,step_4_test_acc,step_4_test_loss,step_5_test_acc,step_5_test_loss,step_6_test_acc,step_6_test_loss,step_7_test_acc,step_7_test_loss,step_8_test_acc,step_8_test_loss,step_9_test_acc,step_9_test_loss,step_10_test_acc,step_10_test_loss,step_11_test_acc,step_11_test_loss,step_12_test_acc,step_12_test_loss,step_13_test_acc,step_13_test_loss,step_14_test_acc,step_14_test_loss,step_15_test_acc,step_15_test_loss,step_16_test_acc,step_16_test_loss,step_17_test_acc,step_17_test_loss,step_18_test_acc,step_18_test_loss,step_19_test_acc,step_19_test_loss,step_20_test_acc,step_20_test_loss,step_21_test_acc,step_21_test_loss,step_22_test_acc,step_22_test_loss,step_23_test_acc,step_23_test_loss,step_24_test_acc,step_24_test_loss,step_25_test_acc,step_25_test_loss,step_26_test_acc,step_26_test_loss,step_27_test_acc,step_27_test_loss,step_28_test_acc,step_28_test_loss,step_29_test_acc,step_29_test_loss,step_30_test_acc,step_30_test_loss,step_31_test_acc,step_31_test_loss,step_32_test_acc,step_32_test_loss,step_33_test_acc,step_33_test_loss,step_34_test_acc,step_34_test_loss,step_35_test_acc,step_35_test_loss,step_36_test_acc,step_36_test_loss,step_37_test_acc,step_37_test_loss,step_38_test_acc,step_38_test_loss,step_39_test_acc,step_39_test_loss,step_40_test_acc,step_40_test_loss,step_41_test_acc,step_41_test_loss,step_42_test_acc,step_42_test_loss,step_43_test_acc,step_43_test_loss,step_44_test_acc,step_44_test_loss,step_45_test_acc,step_45_test_loss,step_46_test_acc,step_46_test_loss,step_47_test_acc,step_47_test_loss,step_48_test_acc,step_48_test_loss,step_49_test_acc,step_49_test_loss,step_50_test_acc,step_50_test_loss
relu,32,0.8079,0.5597658,0.753613062,0.690780974,96,4,128,4,128,5,100,125,0.0015,0.99,adam,0,0.503,1.3878578,0.5429,1.2525281,0.645,1.0045254,0.6146,1.0889744,0.6768,0.93453467,0.6453,0.99408084,0.7059,0.82727116,0.7228,0.7881964,0.7199,0.80322874,0.6015,1.1837015,0.7487,0.7245027,0.7473,0.71656513,0.7431,0.7398953,0.752,0.71178544,0.7447,0.74566895,0.7545,0.73335725,0.7771,0.6534798,0.7765,0.65230596,0.713,0.87537235,0.7758,0.6515797,0.7815,0.63689286,0.7613,0.70111775,0.7743,0.67179257,0.7864,0.6195808,0.7918,0.60770273,0.7878,0.6174801,0.7571,0.7332667,0.7909,0.62172395,0.7911,0.6013372,0.7808,0.6481249,0.7912,0.61687165,0.7994,0.59184915,0.779,0.66110337,0.7966,0.600825,0.7976,0.596564,0.7899,0.6249842,0.7884,0.63091373,0.8017,0.5849108,0.8079,0.5597658,0.8025,0.5839116,0.7957,0.6266463,0.7895,0.61793035,0.8046,0.5952665,0.7974,0.59931123,0.8089,0.5797047,0.7932,0.6389576,0.7931,0.6300826,0.7969,0.61531824,0.8009,0.59335077,0.8047,0.5966239
relu,32,0.7788,0.63298017,0.704730236,0.833141785,64,5,64,4,96,4,125,125,0.0015,0.9,adam,0,0.4672,1.4714081,0.5306,1.3336766,0.5895,1.1347076,0.6213,1.0790393,0.6517,0.9747896,0.662,0.9568171,0.6687,0.94175345,0.7046,0.83738106,0.6827,0.89719725,0.6708,0.9381048,0.6508,0.99853116,0.6784,0.90728533,0.6396,1.0414042,0.7054,0.8480414,0.6949,0.87345564,0.6783,0.9325514,0.7111,0.8512127,0.7329,0.76705754,0.7285,0.7827998,0.7469,0.7282796,0.6802,0.93710446,0.7397,0.7451889,0.7279,0.78523666,0.7466,0.73308086,0.7473,0.7278908,0.7432,0.74618,0.6843,0.9012293,0.7635,0.67514807,0.7391,0.7576314,0.6989,0.89282566,0.7712,0.66817236,0.7688,0.6664014,0.773,0.65300745,0.7499,0.73636085,0.7669,0.66685176,0.7717,0.64817363,0.7346,0.78113616,0.7553,0.72383994,0.7565,0.7025994,0.771,0.66402674,0.7788,0.63298017,0.7556,0.7190752,0.7729,0.6620922,0.7701,0.65811306,0.7637,0.6715993,0.7008,0.8715039,0.7611,0.6833629,0.7668,0.6865447,0.7592,0.70261943,0.7655,0.6745894
relu,32,0.8107,0.55968654,0.753093442,0.697825757,64,4,128,4,128,5,100,100,0.0015,0.99,adam,0,0.4811,1.4247148,0.5565,1.2622021,0.5913,1.1528598,0.6111,1.0880139,0.5619,1.2943751,0.6979,0.8464917,0.6212,1.1005822,0.607,1.1459386,0.6739,0.9169336,0.7134,0.82491785,0.7181,0.8051067,0.7298,0.7738543,0.7492,0.73707235,0.7629,0.68657786,0.7242,0.80073214,0.7378,0.7576066,0.7578,0.71098197,0.6604,1.0265434,0.7826,0.6329174,0.7648,0.69257647,0.7422,0.74416494,0.739,0.76511884,0.7143,0.8563088,0.7814,0.6276022,0.7955,0.6000976,0.7835,0.6298823,0.7808,0.637708,0.7781,0.647846,0.7606,0.71053064,0.7712,0.67817146,0.7447,0.75730747,0.7475,0.75751376,0.7847,0.6324097,0.7933,0.6239583,0.7948,0.6070338,0.7909,0.6094915,0.771,0.6777989,0.7288,0.83407587,0.748,0.7556302,0.7902,0.6254479,0.8045,0.57333916,0.7884,0.62682736,0.7866,0.6244551,0.7887,0.6302241,0.7946,0.6045638,0.7961,0.5999563,0.7888,0.6248904,0.8107,0.55968654,0.7924,0.6137467,0.7967,0.6028735
relu,32,0.7843,0.6438118,0.739806584,0.737117997,64,5,128,3,128,5,100,125,0.002,0.9,adam,0,0.502,1.3804,0.5387,1.2825251,0.5491,1.2702199,0.5711,1.1645149,0.6104,1.1070251,0.6574,0.970833,0.6832,0.9133842,0.6892,0.8985028,0.7038,0.85902315,0.6676,0.9661065,0.7162,0.79668623,0.6442,1.0374833,0.7132,0.82055056,0.6517,1.0095471,0.6973,0.8917914,0.6847,0.93002033,0.7233,0.79812443,0.7372,0.75747836,0.7172,0.839204,0.7418,0.76449984,0.7601,0.6942645,0.7279,0.7915738,0.7097,0.8435293,0.7444,0.7456673,0.7648,0.68601,0.7768,0.6458823,0.6427,1.1581756,0.7686,0.6715535,0.7488,0.7496736,0.7509,0.7373418,0.7434,0.76786387,0.754,0.7371118,0.7247,0.8335022,0.7776,0.6545839,0.7498,0.7320746,0.7385,0.7972855,0.7603,0.70696956,0.7795,0.6632708,0.6835,0.9982955,0.7701,0.6858112,0.7645,0.70474505,0.764,0.7019911,0.7765,0.6650397,0.7831,0.6470049,0.7316,0.8205666,0.7647,0.70853543,0.7843,0.6438118,0.7841,0.6514798,0.7745,0.67756176,0.7544,0.75347966
relu,32,0.8051,0.5756672,0.738590258,0.735050803,64,5,96,5,96,5,125,125,0.0015,0.95,adam,0,0.4171,1.6152506,0.5624,1.204434,0.5923,1.1439061,0.5536,1.2915975,0.6047,1.1468643,0.686,0.88717824,0.6774,0.92482686,0.7103,0.8296168,0.6906,0.87236184,0.7186,0.80845314,0.6632,0.97339755,0.6951,0.8844744,0.6955,0.89652276,0.7552,0.7046653,0.7197,0.8017617,0.6926,0.89117956,0.68,0.89864826,0.7562,0.71305656,0.733,0.7684658,0.7223,0.8059061,0.715,0.82924,0.7373,0.7669329,0.7711,0.6551021,0.7837,0.63263834,0.7609,0.699,0.7139,0.82557595,0.7307,0.7961606,0.7243,0.7997557,0.7493,0.7273578,0.7299,0.79721713,0.7714,0.66405725,0.7874,0.61459875,0.7697,0.66836804,0.7861,0.61934155,0.7885,0.6194551,0.7737,0.6568943,0.7937,0.61093146,0.7631,0.7009356,0.7704,0.6821472,0.7898,0.6160251,0.7948,0.5947272,0.7899,0.6152002,0.786,0.63509345,0.7923,0.6005071,0.7651,0.6946228,0.8051,0.5756672,0.7995,0.5865798,0.797,0.600888,0.7882,0.61425096,0.749,0.7533927
relu,64,0.8006,0.5717539,0.745752522,0.715914814,64,5,96,4,128,5,100,125,0.002,0.99,adam,0,0.4351,1.5599129,0.3346,2.0968623,0.5996,1.1083461,0.5124,1.3475629,0.6574,0.97962433,0.6509,0.99444884,0.663,0.9839168,0.6925,0.87172675,0.6726,0.9482697,0.7239,0.7800008,0.6894,0.9059817,0.7039,0.84993166,0.7479,0.7215431,0.7368,0.76077324,0.7569,0.70702064,0.7271,0.7745625,0.7631,0.685408,0.6986,0.8796006,0.759,0.6889842,0.7445,0.74766153,0.6867,0.91944695,0.7421,0.73695886,0.6195,1.1594971,0.7546,0.73814106,0.7446,0.74516577,0.6246,1.2063076,0.6573,1.0796509,0.756,0.7082751,0.7647,0.67959934,0.7067,0.88784295,0.7445,0.7395458,0.7099,0.8674496,0.7397,0.74605733,0.7777,0.6410037,0.779,0.6536307,0.739,0.7779067,0.7778,0.6512196,0.7531,0.73525,0.7974,0.5852617,0.7874,0.6122233,0.7423,0.75710994,0.7772,0.6523678,0.7888,0.6195751,0.765,0.70979726,0.7851,0.63437796,0.8006,0.5717539,0.7875,0.6345248,0.7961,0.599891,0.7813,0.6476742,0.7738,0.66640097
relu,32,0.7652,0.6852906,0.68677799,0.882992135,64,4,64,3,96,4,100,125,0.003,0.95,adam,0,0.3349,1.9028988,0.4923,1.386908,0.5782,1.1775168,0.5662,1.2342012,0.6324,1.0460602,0.5968,1.1371624,0.6125,1.1239294,0.6723,0.93054014,0.6517,0.9764727,0.6784,0.8924371,0.6873,0.8824365,0.6786,0.90019226,0.6543,0.9692115,0.6784,0.94619983,0.6716,0.938975,0.677,0.93061775,0.7045,0.82761943,0.7201,0.8069591,0.7105,0.82907283,0.665,0.9562346,0.7015,0.8440963,0.6532,1.0098847,0.723,0.7917158,0.7251,0.78886575,0.6821,0.91518366,0.7276,0.77679867,0.7021,0.85710114,0.7184,0.8048497,0.6878,0.90055,0.6851,0.9140186,0.7302,0.77692664,0.729,0.7816326,0.7246,0.8127634,0.7525,0.71080124,0.7055,0.854472,0.7282,0.78923,0.7138,0.8311639,0.7431,0.74489033,0.7293,0.7910381,0.7342,0.7941173,0.7413,0.75368255,0.7327,0.7695046,0.6832,0.9236427,0.7346,0.7661494,0.7505,0.7176699,0.7539,0.71784043,0.7401,0.7520605,0.7225,0.79606533,0.7652,0.6852906,0.7345,0.7674637
relu,32,0.8106,0.55091053,0.763166366,0.667341349,96,5,96,4,128,5,125,125,0.001,0.9,adam,0,0.3394,1.98885,0.5267,1.2944936,0.6002,1.1286609,0.6192,1.0607944,0.6104,1.1378617,0.7036,0.84669465,0.6799,0.9424332,0.7029,0.83403593,0.6631,0.98747325,0.6715,0.98311526,0.5941,1.2297728,0.6662,0.96925676,0.6909,0.90084237,0.7476,0.7107459,0.7505,0.7181164,0.7528,0.73729724,0.7385,0.73938733,0.7617,0.6854811,0.6908,0.9313526,0.7799,0.640422,0.7792,0.64466965,0.7869,0.6099593,0.7752,0.6443117,0.7408,0.7693415,0.7953,0.601551,0.7638,0.69439924,0.8004,0.58202255,0.7734,0.6814789,0.7914,0.6034037,0.7219,0.84658027,0.8012,0.5834205,0.7914,0.615254,0.7928,0.61574084,0.7851,0.6285038,0.8034,0.5758209,0.7747,0.6553489,0.8022,0.58205235,0.7797,0.6388883,0.7792,0.6556796,0.7973,0.60752404,0.8094,0.5615525,0.7977,0.60436785,0.7997,0.5989964,0.801,0.58570045,0.791,0.6167145,0.8036,0.5956539,0.7808,0.64577806,0.7974,0.5988286,0.8106,0.55091053,0.8081,0.57448393
relu,64,0.7667,0.6651905,0.680923094,0.892224262,64,4,64,3,96,4,100,100,0.001,0.95,adam,0,0.409,1.6700635,0.4461,1.5291309,0.5677,1.2075852,0.5763,1.1913713,0.6201,1.0856491,0.5494,1.2912707,0.6099,1.1025523,0.6456,0.98529035,0.6249,1.0250037,0.6162,1.071657,0.6371,1.0274056,0.6802,0.90531164,0.7142,0.8176852,0.6535,0.97607267,0.6748,0.89733595,0.7279,0.76743484,0.6692,0.93572736,0.6961,0.8358561,0.6681,0.9578512,0.7178,0.79289377,0.7115,0.81944764,0.7006,0.86551327,0.7376,0.75478256,0.758,0.6993046,0.7013,0.84407306,0.7408,0.74215615,0.6974,0.85068494,0.757,0.6992088,0.7388,0.7529712,0.6588,1.0295421,0.6992,0.84732366,0.7147,0.81951,0.7218,0.79525113,0.7667,0.6651905,0.6757,0.9262291,0.6979,0.86234856,0.7171,0.8084994,0.7462,0.72480637,0.728,0.77180433,0.7436,0.73324466,0.7273,0.78503084,0.7229,0.8087539,0.7556,0.69752634,0.7674,0.6720717,0.7586,0.68756944,0.7224,0.78744614,0.7159,0.80213577,0.7271,0.78609353,0.7623,0.6779068,0.7513,0.6947221
relu,64,0.8069,0.57586306,0.759179501,0.679267475,64,4,128,4,128,4,100,125,0.001,0.95,adam,0,0.4304,1.5349226,0.5432,1.2758857,0.6102,1.112858,0.6125,1.0608717,0.6578,0.9718178,0.5907,1.1676227,0.6783,0.9193297,0.688,0.86843055,0.6743,0.9296514,0.7007,0.85595655,0.7192,0.8009888,0.6953,0.8615865,0.6087,1.1206661,0.6923,0.91447324,0.7522,0.72524637,0.7395,0.7481497,0.6911,0.9128742,0.7456,0.7450017,0.7176,0.8219756,0.7569,0.7039226,0.7319,0.7889926,0.6842,0.9174875,0.7715,0.6597992,0.7268,0.79881585,0.7774,0.64286906,0.7515,0.7266459,0.7223,0.82404375,0.7878,0.61776054,0.7803,0.6504772,0.7773,0.6457127,0.7696,0.67276186,0.7779,0.6465422,0.7855,0.61662304,0.795,0.598163,0.7665,0.6992181,0.7932,0.60573506,0.79,0.6295975,0.7679,0.70098716,0.7947,0.5959539,0.7745,0.69181746,0.798,0.59422284,0.7773,0.67574465,0.7917,0.6170372,0.8007,0.57983017,0.7893,0.62247646,0.7968,0.60725296,0.785,0.6489751,0.8069,0.57586306,0.7856,0.6361912,0.8024,0.60800165
